,TRAINER,AVERAGE_SPEED_furlongs_a_second,HORSES
83,Jack Sisterson,0.0875266558451892,['Kierkegaard']
96,Edward Allard,0.0871190521447126,['River Hawk']
76,"Anthony Margotta, Jr.",0.0870514869976733,['Good Credence']
77,Derek Ryan,0.0865828125245973,['Imincomunicado']
72,Niall Saville,0.086197439152444,['Saint Marco']
106,Robertino Diodoro,0.0861070232019288,['Roman City']
113,Peter Pugh,0.0859899000953706,['Brickyard']
92,Antonio Sano,0.0858209772856048,['Iberico' 'Champagne Humor' 'Venerate']
52,Carlos Martin,0.0857816609636749,['Persian Queen']
86,Jena Antonucci,0.0856506595100782,['Bellavia']
